Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000028:2269759-2270188	Cluster_6484	N	41	0	199	56	9
Pocillopora_meandrina_HIv1___Sc0000028:2272485-2273583	Cluster_6485	N	488	120	419	72	83
Pocillopora_meandrina_HIv1___Sc0000028:2273753-2274189	Cluster_6486	N	132	76	120	112	34
Pocillopora_meandrina_HIv1___Sc0000028:2274766-2275194	Cluster_6487	N	88	10	3	37	1
Pocillopora_meandrina_HIv1___Sc0000028:2281627-2282045	Cluster_6488	N	44	8	43	55	2
Pocillopora_meandrina_HIv1___Sc0000028:2285050-2285476	Cluster_6489	N	0	3	0	88	0
Pocillopora_meandrina_HIv1___Sc0000028:2318943-2319363	Cluster_6490	N	239	128	41	32	27
Pocillopora_meandrina_HIv1___Sc0000028:2340694-2341108	Cluster_6491	N	8	11	30	18	12
Pocillopora_meandrina_HIv1___Sc0000028:2502458-2502858	Cluster_6492	N	116	51	103	79	35
Pocillopora_meandrina_HIv1___Sc0000028:2503021-2503697	Cluster_6493	N	2101	662	2204	2368	581
Pocillopora_meandrina_HIv1___Sc0000028:2506422-2506837	Cluster_6494	N	18	24	18	43	18
Pocillopora_meandrina_HIv1___Sc0000028:2516269-2516951	Cluster_6495	N	1019	406	7	12	67
Pocillopora_meandrina_HIv1___Sc0000028:2655966-2656393	Cluster_6496	N	11	0	227	11	1
Pocillopora_meandrina_HIv1___Sc0000028:3016606-3017082	Cluster_6497	N	567980	1345938	679015	420534	447126
Pocillopora_meandrina_HIv1___Sc0000028:3652276-3652691	Cluster_6498	N	0	32	2	82	325
Pocillopora_meandrina_HIv1___Sc0000028:3737516-3738213	Cluster_6499	N	444	254	742	425	176
Pocillopora_meandrina_HIv1___Sc0000028:3889829-3890245	Cluster_6500	N	0	6	1	62	107
Pocillopora_meandrina_HIv1___Sc0000028:3991237-3991652	Cluster_6501	N	5	11	20	33	81
Pocillopora_meandrina_HIv1___Sc0000028:4089363-4089779	Cluster_6502	N	0	24	4	808	65
Pocillopora_meandrina_HIv1___Sc0000028:4165139-4165567	Cluster_6503	N	0	3	0	179	1
Pocillopora_meandrina_HIv1___Sc0000028:4188650-4189069	Cluster_6504	N	14	1	1	113	0
Pocillopora_meandrina_HIv1___Sc0000028:4189085-4189513	Cluster_6505	N	13	0	2	165	0
Pocillopora_meandrina_HIv1___Sc0000028:4264041-4264455	Cluster_6506	N	3	8	25	10	59
Pocillopora_meandrina_HIv1___Sc0000028:4337321-4337736	Cluster_6507	N	127	101	4	4	1
Pocillopora_meandrina_HIv1___Sc0000028:4395480-4395908	Cluster_6508	N	281	21	1	2	1
Pocillopora_meandrina_HIv1___Sc0000028:4630292-4630705	Cluster_6509	N	0	30	8	11	47
Pocillopora_meandrina_HIv1___Sc0000028:4997301-4997774	Cluster_6510	N	188	337	156	180	438
Pocillopora_meandrina_HIv1___Sc0000029:241050-241477	Cluster_6511	N	102	102	20	75	31
Pocillopora_meandrina_HIv1___Sc0000029:271603-272654	Cluster_6512	N	16	48	481	69	112
Pocillopora_meandrina_HIv1___Sc0000029:272915-273344	Cluster_6513	N	21	37	368	43	135
Pocillopora_meandrina_HIv1___Sc0000029:354102-354884	Cluster_6514	N	383	898	636	4	1
Pocillopora_meandrina_HIv1___Sc0000029:478823-479307	Cluster_6515	N	709	75	63	679	140
Pocillopora_meandrina_HIv1___Sc0000029:479354-479761	Cluster_6516	N	25	27	1	83	14
Pocillopora_meandrina_HIv1___Sc0000029:480405-480833	Cluster_6517	N	148	25	1	5	2
Pocillopora_meandrina_HIv1___Sc0000029:486033-486480	Cluster_6518	N	39	41	21	504	161
Pocillopora_meandrina_HIv1___Sc0000029:488897-489351	Cluster_6519	N	95	28	71	1167	111
Pocillopora_meandrina_HIv1___Sc0000029:574535-574949	Cluster_6520	N	1	0	2	64	11
Pocillopora_meandrina_HIv1___Sc0000029:958370-958779	Cluster_6521	N	3	52	30	3	2
Pocillopora_meandrina_HIv1___Sc0000029:1029893-1030594	Cluster_6522	N	104	63	47	51	16
Pocillopora_meandrina_HIv1___Sc0000029:1031824-1032252	Cluster_6523	N	107	97	26	100	11
Pocillopora_meandrina_HIv1___Sc0000029:1036433-1036848	Cluster_6524	N	29	20	53	0	38
Pocillopora_meandrina_HIv1___Sc0000029:1356522-1356951	Cluster_6525	N	826	1346	1972	1651	171
Pocillopora_meandrina_HIv1___Sc0000029:1493958-1494373	Cluster_6526	N	96	630	1	14	326
Pocillopora_meandrina_HIv1___Sc0000029:1617394-1617993	Cluster_6527	N	388	519	0	0	575
Pocillopora_meandrina_HIv1___Sc0000029:1618347-1618896	Cluster_6528	N	121	60	0	1	30
Pocillopora_meandrina_HIv1___Sc0000029:1638242-1638651	Cluster_6529	N	38	0	0	138	0
Pocillopora_meandrina_HIv1___Sc0000029:1726811-1727238	Cluster_6530	N	138	46	19	1	1
Pocillopora_meandrina_HIv1___Sc0000029:1727380-1728146	Cluster_6531	N	1173	350	253	3	29
Pocillopora_meandrina_HIv1___Sc0000029:1729528-1730826	Cluster_6532	N	4041	2169	3192	49	268
Pocillopora_meandrina_HIv1___Sc0000029:1735799-1736225	Cluster_6533	N	0	0	97	0	0
Pocillopora_meandrina_HIv1___Sc0000029:1983857-1984287	Cluster_6534	N	70	10	4	36	3
Pocillopora_meandrina_HIv1___Sc0000029:1991849-1992264	Cluster_6535	N	105	0	151	0	1
Pocillopora_meandrina_HIv1___Sc0000029:2110212-2110620	Cluster_6536	N	28	17	36	51	21
Pocillopora_meandrina_HIv1___Sc0000029:2127060-2127473	Cluster_6537	N	14	28	27	43	74
Pocillopora_meandrina_HIv1___Sc0000029:2144180-2144602	Cluster_6538	N	178	382	1473	222	51
Pocillopora_meandrina_HIv1___Sc0000029:2159103-2159904	Cluster_6539	N	47	200	1	49	51
Pocillopora_meandrina_HIv1___Sc0000029:2406014-2406432	Cluster_6540	N	14	47	14	10	18
Pocillopora_meandrina_HIv1___Sc0000029:2576425-2576847	Cluster_6541	N	78	53	57	35	22
Pocillopora_meandrina_HIv1___Sc0000029:2755286-2755714	Cluster_6542	N	731	2	254	6	7
Pocillopora_meandrina_HIv1___Sc0000029:2828034-2828449	Cluster_6543	N	982	0	1	4	1
Pocillopora_meandrina_HIv1___Sc0000029:2865054-2865470	Cluster_6544	N	5	3	1	1060	45
Pocillopora_meandrina_HIv1___Sc0000029:2960057-2960471	Cluster_6545	N	33	35	39	34	28
Pocillopora_meandrina_HIv1___Sc0000029:3026372-3026789	Cluster_6546	N	385	931	43	236	604
Pocillopora_meandrina_HIv1___Sc0000029:3051144-3051553	Cluster_6547	N	86	75	0	18	16
Pocillopora_meandrina_HIv1___Sc0000029:3159055-3159478	Cluster_6548	N	1	53	0	85	12
Pocillopora_meandrina_HIv1___Sc0000029:3198881-3199283	Cluster_6549	N	14	26	7	26	27
Pocillopora_meandrina_HIv1___Sc0000029:3218961-3219391	Cluster_6550	N	2043	1745	829	0	0
Pocillopora_meandrina_HIv1___Sc0000029:3310559-3310967	Cluster_6551	N	20	32	14	36	67
Pocillopora_meandrina_HIv1___Sc0000029:3399940-3400368	Cluster_6552	N	0	130	1	313	2
Pocillopora_meandrina_HIv1___Sc0000029:3440458-3440885	Cluster_6553	N	76	6	2	37	3
Pocillopora_meandrina_HIv1___Sc0000029:3518051-3518964	Cluster_6554	N	820	559	634	85	6
Pocillopora_meandrina_HIv1___Sc0000029:3632843-3633257	Cluster_6555	N	16	38	44	455	210
Pocillopora_meandrina_HIv1___Sc0000029:4083264-4083680	Cluster_6556	N	8	49	10	22	83
Pocillopora_meandrina_HIv1___Sc0000029:4149965-4150380	Cluster_6557	N	0	25	2	77	51
Pocillopora_meandrina_HIv1___Sc0000029:4301144-4301558	Cluster_6558	N	51	0	51	32	1
Pocillopora_meandrina_HIv1___Sc0000029:4531906-4532322	Cluster_6559	N	2	2	11	963	4
Pocillopora_meandrina_HIv1___Sc0000029:4582445-4583042	Cluster_6560	N	49	138	13	191	250
Pocillopora_meandrina_HIv1___Sc0000029:4784120-4784526	Cluster_6561	N	61	14	10	21	26
Pocillopora_meandrina_HIv1___Sc0000030:81358-81775	Cluster_6562	N	0	72	23	0	1
Pocillopora_meandrina_HIv1___Sc0000030:124231-124707	Cluster_6563	N	222	0	12	1	1
Pocillopora_meandrina_HIv1___Sc0000030:125789-126216	Cluster_6564	N	3	6	60	2	31
Pocillopora_meandrina_HIv1___Sc0000030:126305-126731	Cluster_6565	N	11	16	125	0	72
Pocillopora_meandrina_HIv1___Sc0000030:128747-129161	Cluster_6566	N	3	16	5	309	6
Pocillopora_meandrina_HIv1___Sc0000030:161973-162400	Cluster_6567	N	2	5	1	111	0
Pocillopora_meandrina_HIv1___Sc0000030:334192-334597	Cluster_6568	N	15	65	15	83	121
Pocillopora_meandrina_HIv1___Sc0000030:334765-335299	Cluster_6569	N	155	73	77	265	331
Pocillopora_meandrina_HIv1___Sc0000030:369631-370103	Cluster_6570	N	2	5	318	5	66
Pocillopora_meandrina_HIv1___Sc0000030:430885-431895	Cluster_6571	N	687	54	201	276	70
Pocillopora_meandrina_HIv1___Sc0000030:487052-487460	Cluster_6572	N	30	1	0	5	106
Pocillopora_meandrina_HIv1___Sc0000030:512018-512447	Cluster_6573	N	318	22	0	0	0
Pocillopora_meandrina_HIv1___Sc0000030:528530-529053	Cluster_6574	N	3	2	802	224	17
Pocillopora_meandrina_HIv1___Sc0000030:634495-634911	Cluster_6575	N	10	38	12	17	59
Pocillopora_meandrina_HIv1___Sc0000030:794156-794584	Cluster_6576	N	52	20	38	41	44
Pocillopora_meandrina_HIv1___Sc0000030:802573-802989	Cluster_6577	N	29	8	12	54	51
Pocillopora_meandrina_HIv1___Sc0000030:976254-976669	Cluster_6578	N	134	187	42	207	531
Pocillopora_meandrina_HIv1___Sc0000030:1038302-1038717	Cluster_6579	N	11	26	22	30	71
Pocillopora_meandrina_HIv1___Sc0000030:1096429-1096854	Cluster_6580	N	12	48	20	55	91
Pocillopora_meandrina_HIv1___Sc0000030:1302849-1303275	Cluster_6581	N	0	12	182	2	22
Pocillopora_meandrina_HIv1___Sc0000030:1409546-1410032	Cluster_6582	N	219	224	170	260	644
Pocillopora_meandrina_HIv1___Sc0000030:1504933-1505351	Cluster_6583	N	28	21	27	26	47
Pocillopora_meandrina_HIv1___Sc0000030:1620501-1621066	Cluster_6584	N	28	8	9	711	29
Pocillopora_meandrina_HIv1___Sc0000030:1621328-1621755	Cluster_6585	N	15	4	49	54	20
Pocillopora_meandrina_HIv1___Sc0000030:1623897-1624427	Cluster_6586	N	159	0	118	274	41
Pocillopora_meandrina_HIv1___Sc0000030:1624548-1624978	Cluster_6587	N	103	6	76	370	56
Pocillopora_meandrina_HIv1___Sc0000030:2184565-2184991	Cluster_6588	N	11	38	6	136	23
Pocillopora_meandrina_HIv1___Sc0000030:2250966-2251677	Cluster_6589	N	1	1	365	2	3
Pocillopora_meandrina_HIv1___Sc0000030:2351815-2352244	Cluster_6590	N	0	0	0	1813	225
Pocillopora_meandrina_HIv1___Sc0000030:2352347-2352778	Cluster_6591	N	4	2075	71	596	0
Pocillopora_meandrina_HIv1___Sc0000030:2441886-2442311	Cluster_6592	N	5	10	2	52	30
Pocillopora_meandrina_HIv1___Sc0000030:2443377-2443803	Cluster_6593	N	94	4	96	2	0
Pocillopora_meandrina_HIv1___Sc0000030:2455657-2457394	Cluster_6594	N	650	431	717	616	273
Pocillopora_meandrina_HIv1___Sc0000030:2530378-2530788	Cluster_6595	N	36	19	35	30	13
Pocillopora_meandrina_HIv1___Sc0000030:2535115-2535893	Cluster_6596	N	70	1998	81	11	51
Pocillopora_meandrina_HIv1___Sc0000030:2541437-2541859	Cluster_6597	N	7	163	0	347	0
Pocillopora_meandrina_HIv1___Sc0000030:2552047-2553299	Cluster_6598	N	4694	2462	2652	2759	979
Pocillopora_meandrina_HIv1___Sc0000030:2561843-2563369	Cluster_6599	N	6781	2943	3063	4270	944
Pocillopora_meandrina_HIv1___Sc0000030:2574974-2575596	Cluster_6600	N	311	55	62	157	10
Pocillopora_meandrina_HIv1___Sc0000030:2575919-2576424	Cluster_6601	N	148	43	41	1451	18
Pocillopora_meandrina_HIv1___Sc0000030:2583026-2583561	Cluster_6602	N	0	0	3	294	0
Pocillopora_meandrina_HIv1___Sc0000030:2588002-2588429	Cluster_6603	N	36	6	83	11	13
Pocillopora_meandrina_HIv1___Sc0000030:2592360-2592789	Cluster_6604	N	282	3	32	48	31
Pocillopora_meandrina_HIv1___Sc0000030:2599239-2599668	Cluster_6605	N	8	7	89	13	4
Pocillopora_meandrina_HIv1___Sc0000030:2616697-2617207	Cluster_6606	N	127	111	6	5	227
Pocillopora_meandrina_HIv1___Sc0000030:2627661-2628089	Cluster_6607	N	10	15	204	2	0
Pocillopora_meandrina_HIv1___Sc0000030:2666798-2667351	Cluster_6608	N	72	41	61	109	36
Pocillopora_meandrina_HIv1___Sc0000030:2738659-2739071	Cluster_6609	N	11	38	0	14	25
Pocillopora_meandrina_HIv1___Sc0000030:2997180-2997594	Cluster_6610	N	0	46	0	303	0
Pocillopora_meandrina_HIv1___Sc0000030:3024774-3025324	Cluster_6611	N	121	70	0	1	25
Pocillopora_meandrina_HIv1___Sc0000030:3025677-3026275	Cluster_6612	N	357	550	1	2	549
Pocillopora_meandrina_HIv1___Sc0000030:3073309-3073870	Cluster_6613	N	133	189	167	183	231
Pocillopora_meandrina_HIv1___Sc0000030:3271465-3271884	Cluster_6614	N	111	38	76	14	4
Pocillopora_meandrina_HIv1___Sc0000030:3297488-3297913	Cluster_6615	N	156	22	4	7	2
Pocillopora_meandrina_HIv1___Sc0000030:3306544-3306971	Cluster_6616	N	0	1	127	0	2
Pocillopora_meandrina_HIv1___Sc0000030:3427575-3427996	Cluster_6617	N	49	63	43	31	17
Pocillopora_meandrina_HIv1___Sc0000030:3477521-3477947	Cluster_6618	N	144	0	0	1	92
Pocillopora_meandrina_HIv1___Sc0000030:3555015-3555433	Cluster_6619	N	300	110	273	164	85
Pocillopora_meandrina_HIv1___Sc0000030:3568440-3569612	Cluster_6620	N	604	826	859	551	185
Pocillopora_meandrina_HIv1___Sc0000030:3772717-3773145	Cluster_6621	N	5	2	155	9	4
Pocillopora_meandrina_HIv1___Sc0000030:3906159-3906573	Cluster_6622	N	7	14	13	261	88
Pocillopora_meandrina_HIv1___Sc0000030:4034894-4035309	Cluster_6623	N	17	25	29	11	22
Pocillopora_meandrina_HIv1___Sc0000030:4047045-4047691	Cluster_6624	N	1295	82	309	429	339
Pocillopora_meandrina_HIv1___Sc0000030:4091846-4093102	Cluster_6625	N	1436	800	1177	1071	542
Pocillopora_meandrina_HIv1___Sc0000030:4101884-4102307	Cluster_6626	N	0	6	261	0	0
Pocillopora_meandrina_HIv1___Sc0000030:4165619-4166034	Cluster_6627	N	30	5	71	60	9
Pocillopora_meandrina_HIv1___Sc0000030:4407822-4408603	Cluster_6628	N	124	252	202	284	674
Pocillopora_meandrina_HIv1___Sc0000030:4490497-4491403	Cluster_6629	N	200	3	752	102	85
Pocillopora_meandrina_HIv1___Sc0000030:4491505-4491924	Cluster_6630	N	13	0	144	13	3
Pocillopora_meandrina_HIv1___Sc0000030:4493118-4494019	Cluster_6631	N	156	0	564	92	102
Pocillopora_meandrina_HIv1___Sc0000030:4494056-4496075	Cluster_6632	N	1468	1883	1331	972	618
Pocillopora_meandrina_HIv1___Sc0000030:4528996-4529423	Cluster_6633	N	48	13	4	44	3
Pocillopora_meandrina_HIv1___Sc0000030:4530096-4530525	Cluster_6634	N	337	576	975	484	1
Pocillopora_meandrina_HIv1___Sc0000031:189661-190091	Cluster_6635	N	169	0	16	59	0
Pocillopora_meandrina_HIv1___Sc0000031:228829-229281	Cluster_6636	N	0	7	680	191	103
Pocillopora_meandrina_HIv1___Sc0000031:308440-308868	Cluster_6637	N	2	1	3	106	0
Pocillopora_meandrina_HIv1___Sc0000031:687296-687714	Cluster_6638	N	20	5	23	36	13
Pocillopora_meandrina_HIv1___Sc0000031:840559-840994	Cluster_6639	N	19	55	32	83	154
Pocillopora_meandrina_HIv1___Sc0000031:851738-852138	Cluster_6640	N	16	17	10	26	73
Pocillopora_meandrina_HIv1___Sc0000031:852697-853125	Cluster_6641	N	45	5	35	13	17
Pocillopora_meandrina_HIv1___Sc0000031:855388-855797	Cluster_6642	N	54	8	3	11	2
Pocillopora_meandrina_HIv1___Sc0000031:857199-857628	Cluster_6643	N	107	32	3	138	17
Pocillopora_meandrina_HIv1___Sc0000031:950692-951110	Cluster_6644	N	354	222	736	271	100
Pocillopora_meandrina_HIv1___Sc0000031:978864-979284	Cluster_6645	N	8	27	22	24	0
Pocillopora_meandrina_HIv1___Sc0000031:1104429-1104843	Cluster_6646	N	0	352	130	0	0
Pocillopora_meandrina_HIv1___Sc0000031:1353862-1354290	Cluster_6647	N	47	0	4	125	91
Pocillopora_meandrina_HIv1___Sc0000031:1455545-1457074	Cluster_6648	N	851	84	308	579	274
Pocillopora_meandrina_HIv1___Sc0000031:1584679-1585097	Cluster_6649	N	2041	4074	5011	5228	376
Pocillopora_meandrina_HIv1___Sc0000031:1782267-1782719	Cluster_6650	N	723	470	107	579	302
Pocillopora_meandrina_HIv1___Sc0000031:1884998-1885415	Cluster_6651	N	0	16	6	101	105
Pocillopora_meandrina_HIv1___Sc0000031:1938093-1938628	Cluster_6652	N	22	118	344	4	4
Pocillopora_meandrina_HIv1___Sc0000031:2002024-2002452	Cluster_6653	N	18	15	181	237	52
Pocillopora_meandrina_HIv1___Sc0000031:2010015-2010431	Cluster_6654	N	73	6	5	20	2
Pocillopora_meandrina_HIv1___Sc0000031:2021776-2022192	Cluster_6655	N	90	86	28	240	692
Pocillopora_meandrina_HIv1___Sc0000031:2027398-2027814	Cluster_6656	N	90	96	36	249	680
Pocillopora_meandrina_HIv1___Sc0000031:2041983-2042399	Cluster_6657	N	70	90	29	245	696
Pocillopora_meandrina_HIv1___Sc0000031:2085244-2085653	Cluster_6658	N	30	75	0	44	25
Pocillopora_meandrina_HIv1___Sc0000031:2339148-2339563	Cluster_6659	N	1	1	0	1	214
Pocillopora_meandrina_HIv1___Sc0000031:2457665-2458080	Cluster_6660	N	0	0	0	140	0
Pocillopora_meandrina_HIv1___Sc0000031:2469935-2470363	Cluster_6661	N	387	533	933	319	482
Pocillopora_meandrina_HIv1___Sc0000031:2609712-2610141	Cluster_6662	N	47	12	23	59	19
Pocillopora_meandrina_HIv1___Sc0000031:2621728-2622157	Cluster_6663	N	125	543	259	808	1066
Pocillopora_meandrina_HIv1___Sc0000031:2642435-2642850	Cluster_6664	N	3	31	29	45	104
Pocillopora_meandrina_HIv1___Sc0000031:2645497-2645918	Cluster_6665	N	7	33	27	84	139
Pocillopora_meandrina_HIv1___Sc0000031:2651920-2652331	Cluster_6666	N	13	36	28	76	103
Pocillopora_meandrina_HIv1___Sc0000031:2661085-2661507	Cluster_6667	N	7	56	27	76	126
Pocillopora_meandrina_HIv1___Sc0000031:2663002-2663419	Cluster_6668	N	10	38	32	69	141
Pocillopora_meandrina_HIv1___Sc0000031:2665484-2666077	Cluster_6669	N	11	36	27	72	174
Pocillopora_meandrina_HIv1___Sc0000031:2666313-2666858	Cluster_6670	N	8	44	38	82	156
Pocillopora_meandrina_HIv1___Sc0000031:2671298-2671706	Cluster_6671	N	5	26	23	28	91
Pocillopora_meandrina_HIv1___Sc0000031:2671864-2672313	Cluster_6672	N	5	39	28	61	85
Pocillopora_meandrina_HIv1___Sc0000031:2679984-2680396	Cluster_6673	N	6	43	27	50	98
Pocillopora_meandrina_HIv1___Sc0000031:2688633-2689044	Cluster_6674	N	8	38	36	63	102
Pocillopora_meandrina_HIv1___Sc0000031:2689280-2689699	Cluster_6675	N	9	42	18	57	92
Pocillopora_meandrina_HIv1___Sc0000031:2691784-2692205	Cluster_6676	N	5	24	9	66	121
Pocillopora_meandrina_HIv1___Sc0000031:2693226-2693643	Cluster_6677	N	4	38	31	74	121
Pocillopora_meandrina_HIv1___Sc0000031:2693729-2694134	Cluster_6678	N	6	39	23	23	91
Pocillopora_meandrina_HIv1___Sc0000031:2694855-2695658	Cluster_6679	N	8	108	42	162	285
Pocillopora_meandrina_HIv1___Sc0000031:2695761-2696222	Cluster_6680	N	15	52	31	84	122
Pocillopora_meandrina_HIv1___Sc0000031:2698211-2698629	Cluster_6681	N	6	33	22	62	143
Pocillopora_meandrina_HIv1___Sc0000031:2700120-2700524	Cluster_6682	N	12	63	27	65	153
Pocillopora_meandrina_HIv1___Sc0000031:2701372-2701783	Cluster_6683	N	8	41	24	51	106
Pocillopora_meandrina_HIv1___Sc0000031:2702731-2703137	Cluster_6684	N	3	28	20	37	66
Pocillopora_meandrina_HIv1___Sc0000031:2703836-2704285	Cluster_6685	N	9	43	29	68	140
Pocillopora_meandrina_HIv1___Sc0000031:2704509-2704956	Cluster_6686	N	13	62	30	84	184
Pocillopora_meandrina_HIv1___Sc0000031:2705918-2706347	Cluster_6687	N	18	71	54	78	106
Pocillopora_meandrina_HIv1___Sc0000031:2706831-2707232	Cluster_6688	N	8	63	30	89	131
Pocillopora_meandrina_HIv1___Sc0000031:2708475-2708898	Cluster_6689	N	4	56	44	81	116
Pocillopora_meandrina_HIv1___Sc0000031:2710378-2710796	Cluster_6690	N	6	58	37	74	150
Pocillopora_meandrina_HIv1___Sc0000031:2713483-2713891	Cluster_6691	N	7	45	10	52	72
Pocillopora_meandrina_HIv1___Sc0000031:2714892-2715406	Cluster_6692	N	133	32	30	109	132
Pocillopora_meandrina_HIv1___Sc0000031:2718804-2719218	Cluster_6693	N	12	60	39	69	136
Pocillopora_meandrina_HIv1___Sc0000031:2719463-2720010	Cluster_6694	N	13	75	25	100	159
Pocillopora_meandrina_HIv1___Sc0000031:2723553-2723968	Cluster_6695	N	5	16	13	31	84
Pocillopora_meandrina_HIv1___Sc0000031:2724658-2725074	Cluster_6696	N	4	28	20	46	81
Pocillopora_meandrina_HIv1___Sc0000031:2728505-2728923	Cluster_6697	N	10	41	26	49	101
Pocillopora_meandrina_HIv1___Sc0000031:3008660-3009316	Cluster_6698	N	79	200	115	385	1434
Pocillopora_meandrina_HIv1___Sc0000031:3010334-3010901	Cluster_6699	N	170	151	169	281	386
Pocillopora_meandrina_HIv1___Sc0000031:3146487-3146910	Cluster_6700	N	75	0	52	1	0
Pocillopora_meandrina_HIv1___Sc0000031:3147356-3148464	Cluster_6701	N	366	30	441	71	53
Pocillopora_meandrina_HIv1___Sc0000031:3160689-3161116	Cluster_6702	N	0	1	0	2	105
Pocillopora_meandrina_HIv1___Sc0000031:3163105-3164114	Cluster_6703	N	509	56	72	360	33
Pocillopora_meandrina_HIv1___Sc0000031:3181659-3182061	Cluster_6704	N	43	34	20	16	0
Pocillopora_meandrina_HIv1___Sc0000031:3190505-3190919	Cluster_6705	N	4	30	18	48	138
Pocillopora_meandrina_HIv1___Sc0000031:3198438-3198858	Cluster_6706	N	0	0	80	5	10
Pocillopora_meandrina_HIv1___Sc0000031:3273943-3274358	Cluster_6707	N	252	101	0	68	209
Pocillopora_meandrina_HIv1___Sc0000031:3318396-3318825	Cluster_6708	N	150	15	32	7	12
Pocillopora_meandrina_HIv1___Sc0000031:3335148-3335573	Cluster_6709	N	5	30	4	0	132
Pocillopora_meandrina_HIv1___Sc0000031:3369381-3369798	Cluster_6710	N	30	3	7	107	4
Pocillopora_meandrina_HIv1___Sc0000031:3548527-3549546	Cluster_6711	N	2648	866	1226	36	124
Pocillopora_meandrina_HIv1___Sc0000031:3551577-3552004	Cluster_6712	N	105	53	25	2	3
Pocillopora_meandrina_HIv1___Sc0000031:3648357-3648774	Cluster_6713	N	183	0	0	5	116
Pocillopora_meandrina_HIv1___Sc0000031:3651114-3651647	Cluster_6714	N	49	121	62	166	424
Pocillopora_meandrina_HIv1___Sc0000031:3673549-3673974	Cluster_6715	N	147	8	5	10	2
Pocillopora_meandrina_HIv1___Sc0000031:3832189-3832605	Cluster_6716	N	0	1	0	0	111
Pocillopora_meandrina_HIv1___Sc0000031:3863646-3864063	Cluster_6717	N	0	20	2	61	1
Pocillopora_meandrina_HIv1___Sc0000031:3872540-3872947	Cluster_6718	N	34	24	32	66	1
Pocillopora_meandrina_HIv1___Sc0000031:3882014-3882836	Cluster_6719	N	17	100	69	377	66
Pocillopora_meandrina_HIv1___Sc0000031:3894259-3894687	Cluster_6720	N	0	38	41	156	10
Pocillopora_meandrina_HIv1___Sc0000031:3894807-3895216	Cluster_6721	N	0	0	86	0	64
Pocillopora_meandrina_HIv1___Sc0000031:3896115-3897020	Cluster_6722	N	5	1061	790	105	141
Pocillopora_meandrina_HIv1___Sc0000031:3902209-3902722	Cluster_6723	N	9	2256	1575	563	16
Pocillopora_meandrina_HIv1___Sc0000031:4007449-4007866	Cluster_6724	N	0	369	0	0	22
Pocillopora_meandrina_HIv1___Sc0000031:4019453-4019988	Cluster_6725	N	696	389	593	546	781
Pocillopora_meandrina_HIv1___Sc0000031:4163166-4163585	Cluster_6726	N	5	0	80	0	2
Pocillopora_meandrina_HIv1___Sc0000031:4501137-4501681	Cluster_6727	N	207	350	337	746	1234
Pocillopora_meandrina_HIv1___Sc0000032:4495-5713	Cluster_6728	N	1440	958	2145	2675	664
Pocillopora_meandrina_HIv1___Sc0000032:35625-36051	Cluster_6729	N	208	2	103	8	8
Pocillopora_meandrina_HIv1___Sc0000032:554647-555065	Cluster_6730	N	67	20	24	13	12
Pocillopora_meandrina_HIv1___Sc0000032:591284-591713	Cluster_6731	N	260	0	2	30	1
Pocillopora_meandrina_HIv1___Sc0000032:592847-593274	Cluster_6732	N	29	3	59	4	17
Pocillopora_meandrina_HIv1___Sc0000032:680956-681371	Cluster_6733	N	18	14	55	62	60
Pocillopora_meandrina_HIv1___Sc0000032:705796-706224	Cluster_6734	N	28	70	38	55	1
Pocillopora_meandrina_HIv1___Sc0000032:732298-734035	Cluster_6735	N	636	454	767	612	257
Pocillopora_meandrina_HIv1___Sc0000032:906845-907303	Cluster_6736	N	414	965	485	826	1688
Pocillopora_meandrina_HIv1___Sc0000032:976624-977084	Cluster_6737	N	14	53	13	61	130
Pocillopora_meandrina_HIv1___Sc0000032:977545-977958	Cluster_6738	N	13	36	34	33	136
Pocillopora_meandrina_HIv1___Sc0000032:978627-979053	Cluster_6739	N	11	47	20	33	89
Pocillopora_meandrina_HIv1___Sc0000032:1022749-1023800	Cluster_6740	N	10	41	452	64	131
Pocillopora_meandrina_HIv1___Sc0000032:1024061-1024490	Cluster_6741	N	11	35	377	32	122
Pocillopora_meandrina_HIv1___Sc0000032:1036766-1037180	Cluster_6742	N	0	18	0	0	84
Pocillopora_meandrina_HIv1___Sc0000032:1084086-1085480	Cluster_6743	N	687	2756	1121	3907	8241
Pocillopora_meandrina_HIv1___Sc0000032:1118221-1118745	Cluster_6744	N	1	1	42	240	143
Pocillopora_meandrina_HIv1___Sc0000032:1287751-1288194	Cluster_6745	N	26	47	23	168	79
Pocillopora_meandrina_HIv1___Sc0000032:1289450-1289886	Cluster_6746	N	13	27	15	78	72
Pocillopora_meandrina_HIv1___Sc0000032:1290726-1291993	Cluster_6747	N	51	139	62	379	590
Pocillopora_meandrina_HIv1___Sc0000032:1292775-1293294	Cluster_6748	N	26	99	24	248	342
